date_raw,date_formatted,complaints,education,notices,education_notices,charges,individual_cost,cost_total,legislation,violation,violation_recoded,city,province,ranking
"March, 2020","March, 2020",,,,,0,,,,QUARANTINE ACT,,ontario,ontario,
"March, 2021","March, 2021",,,,,365,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"February, 2021","February, 2021",,,,,167,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"January, 2021","January, 2021",,,,,1163,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"December, 2020","December, 2020",,,,,763,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"November, 2020","November, 2020",,,,,355,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"October, 2020","October, 2020",,,,,110,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"September, 2020","September, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"August, 2020","August, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"July, 2020","July, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"June, 2020","June, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"May, 2020","May, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"April, 2020","April, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
"March, 2020","March, 2020",,,,,0,,,,REOPENING ONTARIO ACT,,ontario,ontario,
